source,target,dist,street_name
13228001337,13228001338,21.2,Unnamed road
13228001337,13228001335,6.49,Unnamed road
11335369562,344814785,1.17,Unnamed road
11335369562,11335369560,55.21,Unnamed road
11335369562,11335369529,265.16,Unnamed road
11335369562,11335369563,4.51,Unnamed road
7298876257,7298876258,2.96,Unnamed road
13158318946,13158318936,4.31,Oud-Heverleestraat
13158318946,13158318950,4.47,Oud-Heverleestraat
13158318947,13158318950,5.63,Oud-Heverleestraat
13158318947,13158318951,1.72,Oud-Heverleestraat
13158318948,13158318951,1.72,Oud-Heverleestraat
13158318948,13158318949,5.51,Oud-Heverleestraat
13158318949,13158318948,5.51,Oud-Heverleestraat
13158318949,1470718433,23.55,Oud-Heverleestraat
13158318950,13158318946,4.47,Oud-Heverleestraat
13158318950,13158318947,5.63,Oud-Heverleestraat
13158318951,13158318947,1.72,Oud-Heverleestraat
13158318951,13158318948,1.72,Oud-Heverleestraat
7298876260,7277768775,2.68,Leeuwerikenstraat
7298876260,7277737614,1.56,Leeuwerikenstraat
7298876260,7298876259,38.51,Unnamed road
7298876259,7298876260,38.51,Unnamed road
7298876259,7298876258,4.23,Unnamed road
7298876258,7298876259,4.23,Unnamed road
7298876258,7298876257,2.96,Unnamed road
13439075176,1196869665,13.93,Morrenweg
13439075176,1196869743,9.75,Morrenweg
13439075171,12877175339,4.61,Boterstraat
13439075171,12877175338,4.38,Boterstraat
13158318957,13158318961,2.2,Oud-Heverleestraat
13158318957,13158318960,4.78,Oud-Heverleestraat
13158318958,13158318959,6.29,Oud-Heverleestraat
13158318958,13158318961,2.18,Oud-Heverleestraat
13158318959,1470714890,3.91,Oud-Heverleestraat
13158318959,13158318958,6.29,Oud-Heverleestraat
13158318960,13158318957,4.78,Oud-Heverleestraat
13158318960,13021984110,20.47,Oud-Heverleestraat
13158318961,13158318958,2.18,Oud-Heverleestraat
13158318961,13158318957,2.2,Oud-Heverleestraat
13228001339,13228001340,23.54,Unnamed road
